Data,Investido,TIpo,Quem investiu,Valor,,,,,,,,,,,,,,,,,,,,
01/03/2014,OndaLocal,raised funds from,"- Bolt Ventures
   - Rigi Ventures","BRL 1,600,000",,,,,,,,,,,,,,,,,,,,
01/03/2014,BebêStore,raised funds from,"- Atomico
   - W7 Brazil Capital","BRL 30,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2014,Compreauto,was acquired by,- Webmotors,ND,,,,,,,,,,,,,,,,,,,,
01/03/2014,Comprova.com,was acquired by,- Docusign,ND,,,,,,,,,,,,,,,,,,,,
01/02/2014,Pethub,raised funds from,- Altivia Ventures,"BRL 200,000",,,,,,,,,,,,,,,,,,,,
01/02/2014,EscolherSeguro,raised funds from,- Warehouse Investimentos,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2014,iFood,raised funds from,- Movile,"BRL 5,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2014,Qranio,raised funds from,- Gui Afonso,"BRL 600,000",,,,,,,,,,,,,,,,,,,,
01/02/2014,Viva Real,raised funds from,- Dragoneer Investment Group,"USD 13,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2014,Descomplica,raised funds from,"- 500 Startups
   - Valor Capital
   - Valar Ventures
   - El Area
   - Social+Capital Partnership
   - Lee Jacobs","USD 5,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2014,Union Softwares,was acquired by,- Imovelweb,ND,,,,,,,,,,,,,,,,,,,,
01/01/2014,Domínio Sistemas,was acquired by,- Thomson Reuters,ND,,,,,,,,,,,,,,,,,,,,
01/01/2014,Central do Delivery,was acquired by,- iFood,ND,,,,,,,,,,,,,,,,,,,,
01/12/2013,Voopter,raised funds from,- European Founders Fund,"USD 1,200,000",,,,,,,,,,,,,,,,,,,,
01/12/2013,PSafe,raised funds from,"- Redpoint eVentures
   - Qihoo 360","USD 30,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2013,Mandic,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/12/2013,Pagar.me,raised funds from,- Grid Investments,ND,,,,,,,,,,,,,,,,,,,,
01/12/2013,Asyst International,was acquired by,- Algar Telecom,"BRL 103,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2013,Ciashop,was acquired by,- Totvs,"BRL 16,400,000",,,,,,,,,,,,,,,,,,,,
01/12/2013,MSTech,was acquired by,- Abril Educação,"BRL 25,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2013,RealISO,was acquired by,- Daryus,"BRL 5,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2013,Imóvel do Proprietário,was acquired by,- Properati,ND,,,,,,,,,,,,,,,,,,,,
01/11/2013,Playground,raised funds from,- Grid Investments,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2013,Loggi,raised funds from,"- Kees Koolen
   - Nicolas Gautier","BRL 2,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2013,Wiki4Fit,raised funds from,- Opus Software,ND,,,,,,,,,,,,,,,,,,,,
01/11/2013,CargoBR,raised funds from,,ND,,,,,,,,,,,,,,,,,,,,
01/11/2013,Meu Espelho,was acquired by,- Abril Participações,ND,,,,,,,,,,,,,,,,,,,,
01/10/2013,Veduca,raised funds from,"- 500 Startups
   - Macmillan Digital Education
   - Mountain do Brasil","BRL 1,100,000",,,,,,,,,,,,,,,,,,,,
01/10/2013,Easy Taxi,raised funds from,"- Rocket Internet
   - iMena","BRL 15,000,000",,,,,,,,,,,,,,,,,,,,
01/10/2013,Ecosynth,raised funds from,- Inseed,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/10/2013,Izzui,raised funds from,,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/10/2013,FormaFina,raised funds from,"- 500 Startups
   - Redpoint eVentures
   - El Paso Advisors
   - IG Angels
   - Start Capital
   - Plug and Play","BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/10/2013,CachorroGato,raised funds from,,"BRL 400,000",,,,,,,,,,,,,,,,,,,,
01/10/2013,Resultados Digitais,raised funds from,- DGF Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/10/2013,ContaAzul,raised funds from,"- Monashees Capital
   - Ribbit Capital
   - Valar Ventures
   - Napkn Ventures",ND,,,,,,,,,,,,,,,,,,,,
01/10/2013,Izzui,raised funds from,- Confrapar,,,,,,,,,,,,,,,,,,,,,
01/09/2013,Dress & Go,raised funds from,- A5 Investimentos,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2013,Vitrina,raised funds from,- Christian Ribeiro,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2013,PagCom,raised funds from,,"BRL 2,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2013,ComparaOnline.com,raised funds from,"- Kaszek Ventures
   - Ribbit Capital
   - Endeavor Catalyst
   - Rise Capital","BRL 27,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2013,Evino,raised funds from,- Project-A Ventures,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2013,ViaConvo,raised funds from,,"BRL 800,000",,,,,,,,,,,,,,,,,,,,
01/09/2013,Enjoei,raised funds from,- Monashees Capital,"USD 2,970,800",,,,,,,,,,,,,,,,,,,,
01/09/2013,Hotel Urbano,raised funds from,- Insight Venture Partners,"USD 20,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2013,Adtrade,raised funds from,- Project-A Ventures,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2013,ClickBus,raised funds from,"- Rocket Internet
   - LIH","BRL 5,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2013,MegaMenu,was acquired by,- HelloFood Brasil,,,,,,,,,,,,,,,,,,,,,
01/07/2013,Sonoma,raised funds from,- 500 Startups,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2013,Easy Food,raised funds from,- Confrapar,"BRL 2,300,000",,,,,,,,,,,,,,,,,,,,
01/07/2013,Sontra,raised funds from,"- NXTP Labs
   - Mola
   - DHL","BRL 700,000",,,,,,,,,,,,,,,,,,,,
01/07/2013,ZeroPaper,raised funds from,- Totvs Ventures,ND,,,,,,,,,,,,,,,,,,,,
01/07/2013,Oxibiz,was acquired by,- Web Invest Group,"BRL 1,200,000",,,,,,,,,,,,,,,,,,,,
01/07/2013,Opus Software,was acquired by,- Linx,"BRL 9,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2013,All In Mail,was acquired by,- Locaweb,ND,,,,,,,,,,,,,,,,,,,,
01/07/2013,Medicinia,raised funds from,NH Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/06/2013,Easy Taxi,raised funds from,- LIH,"USD 15,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2013,Olook,raised funds from,- Monashees Capital,"USD 3,913,231",,,,,,,,,,,,,,,,,,,,
01/05/2013,Pinion,raised funds from,"- Joá Investimentos
   - Marcelo Loureiro","BRL 1,200,000",,,,,,,,,,,,,,,,,,,,
01/05/2013,Nuvem Shop,raised funds from,- Trinidade Investimentos,"BRL 2,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2013,b-datum,raised funds from,- Haya Investimentos,"BRL 2,800,000",,,,,,,,,,,,,,,,,,,,
01/05/2013,Starline,raised funds from,,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2013,Open English,raised funds from,"- Insight Venture Partners
   - Technology Crossover Ventures
   - Redpoint Ventures","USD 65,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2013,Ilusis Interactive Graphics,raised funds from,- Confrapar,ND,,,,,,,,,,,,,,,,,,,,
01/05/2013,Juv&You,raised funds from,- e.Bricks Digital,ND,,,,,,,,,,,,,,,,,,,,
01/05/2013,Runrun.it,raised funds from,"- 500 Startups
   - Monashees Capital",ND,,,,,,,,,,,,,,,,,,,,
01/05/2013,EduK,raised funds from,- Monashees Capital,ND,,,,,,,,,,,,,,,,,,,,
01/05/2013,Rock Content,raised funds from,- Abril Participações,ND,,,,,,,,,,,,,,,,,,,,
01/05/2013,WPensar,raised funds from,- Vox Capital,ND,,,,,,,,,,,,,,,,,,,,
01/05/2013,Have a Nice Beer,was acquired by,- Wine,ND,,,,,,,,,,,,,,,,,,,,
01/05/2013,Xeriph,was acquired by,- Abril Participações,ND,,,,,,,,,,,,,,,,,,,,
01/04/2013,Netpoints,raised funds from,- Grupo Bozano,"BRL 100,000,000",,,,,,,,,,,,,,,,,,,,
01/04/2013,Mobly,raised funds from,- Cisneros,"USD 10,000,000",,,,,,,,,,,,,,,,,,,,
01/04/2013,GetNinjas,raised funds from,"- Kaszek Ventures
   - Otto Capital
   - Monashees Capital","USD 3,000,000",,,,,,,,,,,,,,,,,,,,
01/04/2013,TrabalhoJá,raised funds from,- Capital Indigo,"USD 5,500,000",,,,,,,,,,,,,,,,,,,,
01/04/2013,ProveAgora,raised funds from,- HFPX Participações,ND,,,,,,,,,,,,,,,,,,,,
01/04/2013,Evino,raised funds from,- Project-A Ventures,ND,,,,,,,,,,,,,,,,,,,,
01/04/2013,Pitzi,raised funds from,"- Kaszek Ventures
   - João Alceu Amoroso Lima
   - José Marin
   - Fabrice Grinda
   - Thrive Capital
   - Initial Capital
   - Flybridge Capital",ND,,,,,,,,,,,,,,,,,,,,
01/04/2013,Sol Soluções Online,was acquired by,- Planus,ND,,,,,,,,,,,,,,,,,,,,
01/04/2013,Profusion,was acquired by,- Intel,ND,,,,,,,,,,,,,,,,,,,,
01/03/2013,OpenTech,raised funds from,- DLM,"BRL 10,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Cuponation,raised funds from,- Holtzbrinck,"BRL 23,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Crowd.Mobi,raised funds from,- João Kepler Braga,"BRL 300,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Zynk,raised funds from,- Zenvia,"BRL 5,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,Senior Solution,raised funds from,,"BRL 62,100,000",,,,,,,,,,,,,,,,,,,,
01/03/2013,PrizEasy,raised funds from,- Brazil Startups,"BRL 80,000",,,,,,,,,,,,,,,,,,,,
