NomeCandidato;NomeFornecedor;Valor;Descricao
ELIZEU MESQUITA DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS 
ELIZEU MESQUITA DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
ELIZEU MESQUITA DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;251,08;REERENTE IMPRESSÌÄO GRAFICA DE 20.000 SANTINHOS FORMATO 7X10 CMS
JOSÌä ALVES DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;537,37;REFERENTE IMPRESSÌÄO GRAFICA DE SANTINHOS FORM. 6X9CMS QUANT. 55.000
JOSÌä ALVES DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;163,46;REFERENTE IMPRESSAO GRAFICA DE SANTINHOS FORMATO 7X10CMS QUANT. 10.000
JOSÌä ALVES DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;163,46;REFERENTE A IMPRESSAO GRAFICA DE SANTINHOS SENDO MODELOS QUANT. 335.000
ADALBERTO FELISMINO DE SOUZA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
ADALBERTO FELISMINO DE SOUZA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS 
ADALBERTO FELISMINO DE SOUZA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REFERENTE IMPRESSÌÄO GRÌFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
RAIMUNDO NONATO DE OLIVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;285;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS DE OLIVEIRA
RAIMUNDO NONATO DE OLIVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REFERENTE IMPRESSÌÄO GRÌFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
RAIMUNDO NONATO DE OLIVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
RAIMUNDO NONATO DE OLIVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
MARIA DAS DORES TAVARES DE SOUZA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;95;REF A IMPRESSÌÄO GRAFICA DE SANTINHOS DORA 10.000 UND 
NAYRA CLAUDINNE GUEDES MENEZES COLOMBO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;450;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS NAYRA 
NAYRA CLAUDINNE GUEDES MENEZES COLOMBO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
NAYRA CLAUDINNE GUEDES MENEZES COLOMBO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
NAYRA CLAUDINNE GUEDES MENEZES COLOMBO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REFERENTE IMPRESSÌÄO GRÌFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
MAURICIO DE OLIVEIRA ARAUJO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
MAURICIO DE OLIVEIRA ARAUJO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
MAURICIO DE OLIVEIRA ARAUJO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REFERENTE IMPRESSÌÄO GRÌFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
EURICO CARVALHO CORDEIRO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
EURICO CARVALHO CORDEIRO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;IMPRESSÌÄO GRÌFICAS DE SANTINHOS FORMATO 6X9 CMS
EURICO CARVALHO CORDEIRO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,84;REFERENTE IMPRESSÌÄO GRÌFICA DE 15.000 SANTINHOS FORMATO 7X10 CMS
JÌÒ PAULINO DE FREITAS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;285;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS JO PAULINO 30.000 UNID 
